"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4-5",,"R (>= 1.5.0)","methods, utils",,,,"LGPL (>= 2)",,,,,"no","3.5.2"
"acepack","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4.1",,,,,"testthat",,"MIT + file LICENSE",,,,,"yes","3.5.2"
"ada","C:/Users/jtolbert/Documents/R/win-library/3.5","2.0-5",,"R(>= 2.10),rpart",,,,,"GPL",,,,,"no","3.5.2"
"adabag","C:/Users/jtolbert/Documents/R/win-library/3.5","4.2",,"rpart, caret, foreach, doParallel",,,"mlbench",,"GPL (>= 2)",,,,,"no","3.5.2"
"alphahull","C:/Users/jtolbert/Documents/R/win-library/3.5","2.2",,,"ggplot2, tripack, R.utils, sgeostat, spatstat, splancs",,,,"file LICENSE",,"yes",,,"yes","3.5.3"
"antiword","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3",,,"sys (>= 2.0)",,,,"GPL-2",,,,,"yes","3.5.2"
"anytime","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3.6",,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",,"GPL (>= 2)",,,,,"yes","3.5.3"
"ape","C:/Users/jtolbert/Documents/R/win-library/3.5","5.3",,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph",,"GPL (>= 2)",,,,,"yes","3.5.3"
"arm","C:/Users/jtolbert/Documents/R/win-library/3.5","1.10-1",,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",,,,"GPL (>= 3)",,,,,"no","3.5.2"
"askpass","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1",,,"sys (>= 2.1)",,"testthat",,"MIT + file LICENSE",,,,,"yes","3.5.2"
"assertthat","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.1",,,"tools",,"testthat, covr",,"GPL-3",,,,,"no","3.5.3"
"AUC","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3.0",,,,,,,"GPL (>= 2)",,,,,"no","3.5.2"
"audio","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1-6",,"R (>= 2.0.0)",,,,,"MIT + file LICENSE",,,,,"yes","3.5.3"
"backports","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.4",,"R (>= 3.0.0)","utils",,,,"GPL-2",,,,,"yes","3.5.3"
"BAMMtools","C:/Users/jtolbert/Documents/R/win-library/3.5","2.1.6",,"ape, R (>= 2.10)","Rcpp (>= 0.11.0), gplots, methods",,"parallel",,"GPL (>= 2)",,,,,"yes","3.5.2"
"base64enc","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1-3",,"R (>= 2.9.0)",,,,"png","GPL-2 | GPL-3",,,,,"yes","3.5.2"
"BatchGetSymbols","C:/Users/jtolbert/Documents/R/win-library/3.5","2.5.3",,"R (>= 3.4.0), rvest, dplyr","stringr, curl, quantmod, XML, tidyr, lubridate, scales, furrr,
purrr, future, tibble, zoo",,"knitr, rmarkdown, testthat, ggplot2",,"GPL-2",,,,,"no","3.5.3"
"bayesplot","C:/Users/jtolbert/Documents/R/win-library/3.5","1.7.0",,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 2.2.1), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",,"gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo (>=
2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>= 2.17.1),
rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales, shinystan
(>= 2.3.0), testthat (>= 2.0.0), vdiffr",,"GPL (>= 3)",,,,,"no","3.5.3"
"BBmisc","C:/Users/jtolbert/Documents/R/win-library/3.5","1.11",,,"utils, methods, stats, checkmate (>= 1.8.0)",,"testthat, microbenchmark, codetools",,"BSD_2_clause + file LICENSE",,,,,"yes","3.5.2"
"beepr","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3",,,"stringr (>= 1.0.0), audio",,,,"GPL-3",,,,,"no","3.5.3"
"BH","C:/Users/jtolbert/Documents/R/win-library/3.5","1.69.0-1",,,,,,,"BSL-1.0",,,,,"no","3.5.2"
"bibtex","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.2",,"R (>= 3.0.2)","stringr, utils",,"testthat",,"GPL (>= 2)",,,,,"yes","3.5.2"
"bindr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.1",,,,,"testthat",,"MIT + file LICENSE",,,,,"no","3.5.2"
"bindrcpp","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.2",,,"bindr (>= 0.1.1), Rcpp (>= 0.12.16)","plogr, Rcpp","testthat",,"MIT + file LICENSE",,,,,"yes","3.5.2"
"binman","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.1",,"R (>= 3.3)","rappdirs, yaml, httr, jsonlite, xml2, utils, stats,
assertthat, semver",,"testthat, covr, knitr, rmarkdown",,"MIT + file LICENSE",,,,,"no","3.5.2"
"BiocInstaller","C:/Users/jtolbert/Documents/R/win-library/3.5","1.30.0",,"R (>= 3.5.0)",,,"remotes, RUnit, BiocGenerics",,"Artistic-2.0",,,,,"no","3.5.0"
"bit","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1-14",,"R (>= 2.9.2)",,,,,"GPL-2",,,,,"yes","3.5.2"
"bit64","C:/Users/jtolbert/Documents/R/win-library/3.5","0.9-7",,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",,,,,"GPL-2",,,,,"yes","3.5.2"
"bitops","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0-6",,,,,,,"GPL (>= 2)",,,,,"yes","3.5.2"
"blastula","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.2",,"R (>= 3.2.1)","commonmark (>= 1.7), downloader (>= 0.4), dplyr (>= 0.8.0.1),
fs (>= 1.2.6), getPass (>= 0.2-2), glue (>= 1.3.1), htmltools
(>= 0.3.6), httr (>= 1.4.0), jsonlite (>= 1.6), magrittr (>=
1.5), processx (>= 3.3.0), stringr (>= 1.4.0), tidyr (>=
0.8.2), xml2 (>= 1.2.0), mime (>= 0.6), base64enc (>= 0.1-3)",,"covr, ggplot2, testthat, keyring, knitr, rmarkdown",,"MIT + file LICENSE",,,,,"no","3.5.2"
"blob","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2.0",,,"methods, prettyunits, rlang, vctrs (>= 0.2.0)",,"covr, crayon, pillar (>= 1.2.1), testthat",,"GPL-3",,,,,"no","3.5.3"
"bmp","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3",,,,,"pixmap, testthat",,"GPL (>= 2)",,,,,"no","3.5.2"
"bnclassify","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.2",,"R (>= 3.2.0)","assertthat (>= 0.1), entropy(>= 1.2.0), matrixStats(>=
0.14.0), rpart(>= 4.1-8), Rcpp,","Rcpp, BH","graph(>= 1.42.0), gRain(>= 1.2-3), gRbase(>= 1.7-0.1), mlr(>=
2.2), testthat(>= 0.8.1), knitr(>= 1.10.5), ParamHelpers(>=
1.5), Rgraphviz(>= 2.8.1), rmarkdown(>= 0.7), mlbench, covr",,"GPL (>= 2)",,,,,"yes","3.5.3"
"bookdown","C:/Users/jtolbert/Documents/R/win-library/3.5","0.13",,,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 1.12),
xfun (>= 0.6), tinytex (>= 0.12)",,"htmlwidgets, rstudioapi, miniUI, rsconnect (>= 0.4.3), servr
(>= 0.13), shiny, testit (>= 0.9), tufte, webshot",,"GPL-3",,,,,"no","3.5.3"
"boot","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3-23","recommended","R (>= 3.0.0), graphics, stats",,,"MASS, survival",,"Unlimited",,,,,"no","3.5.3"
"brew","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0-6",,,,,,,"GPL-2",,,,,,"3.5.2"
"brnn","C:/Users/jtolbert/Documents/R/win-library/3.5","0.7",,"R (>= 3.1.2), Formula",,,,,"GPL-2",,,,,"yes","3.5.2"
"broom","C:/Users/jtolbert/Documents/R/win-library/3.5","0.5.2",,"R (>= 3.1)","backports, dplyr, generics (>= 0.0.2), methods, nlme, purrr,
reshape2, stringr, tibble, tidyr",,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot, brms,
btergm, car, caret, coda, covr, e1071, emmeans, ergm, gam (>=
1.15), gamlss, gamlss.data, gamlss.dist, geepack, ggplot2,
glmnet, gmm, Hmisc, irlba, joineRML, Kendall, knitr, ks,
Lahman, lavaan, lfe, lme4, lmodel2, lmtest, lsmeans, maps,
maptools, MASS, Matrix, mclust, mgcv, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, plyr, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, rsample, rstan, rstanarm,
sp, speedglm, statnet.common, survey, survival, testthat,
tseries, xergm, zoo",,"MIT + file LICENSE",,,,,"no","3.5.3"
"bst","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3-17",,,"rpart, methods, foreach, doParallel, gbm",,"hdi, pROC, R.rsp, knitr, gdata",,"GPL (>= 2)",,,,,"no","3.5.3"
"C50","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.2",,"R (>= 2.10.0)","partykit, Cubist (>= 0.2.1)",,"recipes, knitr",,"GPL-3",,,,,"yes","3.5.2"
"Cairo","C:/Users/jtolbert/Documents/R/win-library/3.5","1.5-10",,"R (>= 2.4.0)","grDevices, graphics",,"png","FastRWeb","GPL-2",,,,,"yes","3.5.3"
"callr","C:/Users/jtolbert/Documents/R/win-library/3.5","3.3.1",,,"processx (>= 3.4.0), R6, utils",,"cliapp, covr, crayon, knitr, pingr, ps, rmarkdown, rprojroot,
spelling, testthat, tibble, withr",,"MIT + file LICENSE",,,,,"no","3.5.3"
"car","C:/Users/jtolbert/Documents/R/win-library/3.5","3.0-3",,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",,"alr4, boot, coxme, leaps, lmtest, Matrix, MatrixModels, rgl
(>= 0.93.960), sandwich, SparseM, survival, survey",,"GPL (>= 2)",,,,,"no","3.5.3"
"carData","C:/Users/jtolbert/Documents/R/win-library/3.5","3.0-2",,"R (>= 3.0)",,,,,"GPL (>= 2)",,,,,"no","3.5.2"
"caret","C:/Users/jtolbert/Documents/R/win-library/3.5","6.0-84",,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.1.0), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.4),
withr (>= 2.0.0)",,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, mda, mgcv,
mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls, pROC,
proxy, randomForest, RANN, spls, subselect, pamr, superpc,
Cubist, testthat (>= 0.9.1), rpart, dplyr",,"GPL (>= 2)",,,,,"yes","3.5.3"
"caTools","C:/Users/jtolbert/Documents/R/win-library/3.5","1.17.1.2",,"R (>= 2.2.0)","bitops",,"MASS, rpart",,"GPL-3",,,,,"yes","3.5.3"
"cellranger","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.0",,"R (>= 3.0.0)","rematch, tibble",,"covr, testthat (>= 1.0.0), knitr, rmarkdown",,"MIT + file LICENSE",,,,,"no","3.5.2"
"charlatan","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3.0",,,"R6 (>= 2.2.0), tibble (>= 1.2), whisker",,"roxygen2 (>= 6.1.0), testthat, knitr, rmarkdown, iptools,
stringi",,"MIT + file LICENSE",,,,,"no","3.5.2"
"checkmate","C:/Users/jtolbert/Documents/R/win-library/3.5","1.9.4",,"R (>= 3.0.0)","backports (>= 1.1.0), utils",,"R6, bit, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tibble",,"BSD_3_clause + file LICENSE",,,,,"yes","3.5.3"
"chron","C:/Users/jtolbert/Documents/R/win-library/3.5","2.3-54",,"R (>= 2.12.0)","graphics, stats",,"scales, ggplot2","zoo","GPL-2",,,,,"yes","3.5.2"
"CircStats","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2-6",,"MASS, boot",,,,,"GPL-2",,,,,"no","3.5.2"
"class","C:/Users/jtolbert/Documents/R/win-library/3.5","7.3-15","recommended","R (>= 3.0.0), stats, utils","MASS",,,,"GPL-2 | GPL-3",,,,,"yes","3.5.2"
"classInt","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4-1",,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",,"spData (>= 0.2.6.2), units",,"GPL (>= 2)",,,,,"yes","3.5.3"
"cli","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.0",,"R (>= 2.10)","assertthat, crayon (>= 1.3.4), methods, utils",,"covr, fansi, mockery, testthat, webshot, withr",,"MIT + file LICENSE",,,,,"no","3.5.3"
"clipr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.7.0",,,"utils",,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",,"GPL-3",,,,,"no","3.5.3"
"clisymbols","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2.0",,,,,"testthat",,"MIT + file LICENSE",,,,,"no","3.5.2"
"cluster","C:/Users/jtolbert/Documents/R/win-library/3.5","2.1.0","recommended","R (>= 3.3.0)","graphics, grDevices, stats, utils",,"MASS, Matrix",,"GPL (>= 2)",,,,,"yes","3.5.3"
"coda","C:/Users/jtolbert/Documents/R/win-library/3.5","0.19-3",,"R (>= 2.14.0)","lattice",,,,"GPL (>= 2)",,,,,"no","3.5.3"
"codetools","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2-16","recommended","R (>= 2.1)",,,,,"GPL",,,,,"no","3.5.2"
"coin","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3-1",,"R (>= 3.4.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-0),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-0)","xtable, e1071, vcd, TH.data (>= 1.0-7)",,"GPL-2",,,,,"yes","3.5.3"
"coindeskr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.0",,,"httr, jsonlite",,"testthat",,"CC0",,,,,"no","3.5.2"
"coinmarketcapr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2",,,"jsonlite, ggplot2, curl",,"testthat, knitr, rmarkdown, ggthemes, dplyr",,"MIT + file LICENSE",,,,,"no","3.5.3"
"colorspace","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4-1",,"R (>= 3.0.0), methods","graphics, grDevices, stats",,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",,"BSD_3_clause + file LICENSE",,,,,"yes","3.5.3"
"colourpicker","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0",,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs, utils",,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5)",,"MIT + file LICENSE",,,,,"no","3.5.3"
"combinat","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0-8",,,,,,,"GPL-2",,,,,,"3.5.2"
"commonmark","C:/Users/jtolbert/Documents/R/win-library/3.5","1.7",,,,,"curl, testthat, xml2",,"BSD_2_clause + file LICENSE",,,,,"yes","3.5.2"
"condformat","C:/Users/jtolbert/Documents/R/win-library/3.5","0.8.0",,,"grDevices, graphics, gridExtra (>= 2.3), gtable (>= 0.2.0),
htmlTable (>= 1.9), htmltools (>= 0.3.6), tibble (>= 1.3.4),
scales (>= 0.5.0), dplyr (>= 0.7.4), lazyeval (>= 0.2.0), knitr
(>= 1.20), rmarkdown (>= 0.9.6), magrittr (>= 1.5), rlang (>=
0.2.2), tidyselect (>= 0.2.2)",,"promises, shiny (>= 1.0.5), testthat (>= 1.0), xlsx (>=
0.6.1)",,"BSD_3_clause + file LICENSE",,,,,"no","3.5.2"
"corrplot","C:/Users/jtolbert/Documents/R/win-library/3.5","0.84",,,,,"knitr, RColorBrewer, testthat",,"GPL",,,,,"no","3.5.2"
"corrr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.0",,"R (>= 3.3.0)","dplyr (>= 0.8), ggplot2 (>= 2.2.0), seriation (>= 1.2-0),
purrr (>= 0.2.2), tibble (>= 2.0), ggrepel (>= 0.6.5), methods
(>= 3.4.3), rlang(>= 0.4.0)",,"testthat (>= 2.1.0), knitr (>= 1.13), rmarkdown (>= 0.9.6),
dbplyr (>= 1.2.1), DBI, RSQLite, sparklyr (>= 0.9), covr",,"MIT + file LICENSE",,,,,"no","3.5.3"
"countess","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0-1",,,"dplyr,
rlang",,,,"Unlimited",,,,,,"3.5.0"
"countrycode","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.0",,"R (>= 2.10)",,,"testthat (>= 0.5)",,"GPL-3",,,,,"no","3.5.2"
"covr","C:/Users/jtolbert/Documents/R/win-library/3.5","3.3.1",,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",,"R6, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",,"GPL-3",,,,,"yes","3.5.3"
"cowplot","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.0",,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales, utils",,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, rmarkdown, testthat (>= 1.0.0),
tidyr, vdiffr (>= 0.3.0), VennDiagram",,"GPL-2",,,,,"no","3.5.3"
"cowsay","C:/Users/jtolbert/Documents/R/win-library/3.5","0.7.0",,,"crayon, fortunes, rmsfact",,"curl, jsonlite, knitr, multicolor, rmarkdown, roxygen2 (>=
6.1.0), testthat",,"MIT + file LICENSE",,,,,"no","3.5.2"
"crayon","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3.4",,,"grDevices, methods, utils",,"mockery, rstudioapi, testthat, withr",,"MIT + file LICENSE",,,,,"no","3.5.2"
"crosstalk","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.0",,,"htmltools (>= 0.3.5), jsonlite, lazyeval, R6, shiny (>= 0.11),
ggplot2",,,,"MIT + file LICENSE",,,,,"no","3.5.2"
"crypto","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.1",,"R (>= 3.4.0), rvest, xml2","dplyr, tibble, jsonlite, lubridate, xts, curl, utils, cli,
crayon, progress, stats, tidyr, httr, rstudioapi",,"R6",,"MIT + file LICENSE",,,,,"no","3.5.3"
"Cubist","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.2",,"lattice","reshape2",,"mlbench, caret, knitr",,"GPL-3",,,,,"yes","3.5.2"
"curl","C:/Users/jtolbert/Documents/R/win-library/3.5","4.0",,"R (>= 3.0.0)",,,"askpass, spelling, testthat (>= 1.0.0), knitr, jsonlite,
rmarkdown, magrittr, httpuv (>= 1.4.4), webutils",,"MIT + file LICENSE",,,,,"yes","3.5.3"
"curlconverter","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.0",,"R (>= 3.2.0),
httr","curl,
clipr,
stringi,
formatR,
magrittr,
jsonlite,
methods,
docopt,
stats",,"testthat,
covr",,"AGPL",,,,,,"3.5.0"
"CVST","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2-2",,"kernlab,Matrix",,,,,"GPL (>= 2.0)",,,,,"no","3.5.2"
"das","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.0",,,,,,,"What license is it under?",,,,,,"3.5.0"
"das18","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.0",,,,,,,"What license is it under?",,,,,,"3.5.0"
"data.table","C:/Users/jtolbert/Documents/R/win-library/3.5","1.12.2",,"R (>= 3.1.0)","methods",,"bit64, curl, R.utils, knitr, xts, nanotime, zoo",,"MPL-2.0 | file LICENSE",,,,,"yes","3.5.3"
"data.tree","C:/Users/jtolbert/Documents/R/win-library/3.5","0.7.8",,"R (>= 3.0)","R6, stringr, methods, DiagrammeR (>= 1.0.0)",,"Formula, graphics, testthat, knitr, rmarkdown, ape, yaml,
networkD3, jsonlite, igraph, treemap, party, partykit,
doParallel, foreach, htmlwidgets","","GPL (>= 2)",,,,,"no","3.5.3"
"datapasta","C:/Users/jtolbert/Documents/R/win-library/3.5","3.0.0",,"R (>= 3.3.0)","readr (>= 1.0.0), clipr (>= 0.3.0), rstudioapi (>= 0.6)",,"tibble (>= 1.2), testthat, knitr, rmarkdown, covr",,"MIT + file LICENSE",,,,,"no","3.5.2"
"daymetr","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4",,"R (>= 3.4)","sp, raster, httr, tidyr, tibble, tools, utils",,"ggplot2, dplyr, rgeos, rgdal, ncdf4, knitr, rmarkdown, covr,
testthat",,"AGPL-3",,,,,"no","3.5.2"
"DBI","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.0",,"R (>= 3.0.0), methods",,,"blob, covr, hms, knitr, magrittr, rprojroot, rmarkdown,
RSQLite (>= 1.1-2), testthat, xml2",,"LGPL (>= 2)",,,,,"no","3.5.2"
"DBItest","C:/Users/jtolbert/Documents/R/win-library/3.5","1.5-2",,"R (>= 3.0.0)","blob, DBI (>= 0.4-9), desc, hms, methods, R6, testthat (>=
1.0.2), withr",,"knitr, lintr, rmarkdown",,"LGPL (>= 2)",,,,,"no","3.5.2"
"dbplyr","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4.2",,"R (>= 3.1)","assertthat (>= 0.2.0), DBI (>= 1.0.0), dplyr (>= 0.8.0), glue
(>= 1.2.0), methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils",,"bit64, covr, knitr, Lahman, nycflights13, RMariaDB (>=
1.0.2), rmarkdown, RMySQL (>= 0.10.11), RPostgreSQL (>= 0.4.1),
RSQLite (>= 2.1.0), testthat (>= 2.0.0), withr (>= 2.1.2)",,"MIT + file LICENSE",,,,,"no","3.5.3"
"ddalpha","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3.9",,"R (>= 2.10), stats, utils, graphics, grDevices, MASS, class,
robustbase, sfsmisc, geometry","Rcpp (>= 0.11.0)","BH, Rcpp",,,"GPL-2",,,,,"yes","3.5.3"
"debugme","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.0",,,"crayon, grDevices",,"covr, mockery, R6, testthat, withr",,"MIT + file LICENSE",,,,,"no","3.5.2"
"deldir","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1-23",,"R (>= 0.99)","graphics, grDevices",,"polyclip",,"GPL (>= 2)",,,,,"yes","3.5.3"
"dendextend","C:/Users/jtolbert/Documents/R/win-library/3.5","1.12.0",,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
profdpm, microbenchmark, gplots, heatmaply, d3heatmap,
dynamicTreeCut, pvclust, corrplot, DendSer, MASS, cluster, fpc,
circlize (>= 0.2.5), covr","ggdendro, dendroextras, Hmisc, data.table, rpart","GPL-2 | GPL-3",,,,,"no","3.5.3"
"DEoptimR","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0-8",,,"stats",,,"robustbase","GPL (>= 2)",,,,,"no","3.5.2"
"Deriv","C:/Users/jtolbert/Documents/R/win-library/3.5","3.8.5",,,,,"testthat",,"GPL (>= 3)",,,,,"no","3.5.2"
"desc","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2.0",,"R (>= 3.1.0)","assertthat, utils, R6, crayon, rprojroot",,"covr, testthat, whoami, withr",,"MIT + file LICENSE",,,,,"no","3.5.2"
"devtools","C:/Users/jtolbert/Documents/R/win-library/3.5","2.2.0",,"R (>= 3.0.2), usethis (>= 1.5.0)","callr, cli, covr (>= 3.2.0), crayon, desc, digest, DT,
ellipsis, glue, git2r (>= 0.23.0), httr (>= 0.4), jsonlite,
memoise (>= 1.0.0), pkgbuild (>= 1.0.3), pkgload (>= 1.0.2),
rcmdcheck (>= 1.3.3), remotes (>= 2.1.0), roxygen2 (>= 6.1.1),
rstudioapi (>= 0.7), rversions, sessioninfo (>= 1.1.1), stats,
testthat (>= 2.1.1), tools, utils, withr",,"BiocManager, bitops, curl (>= 0.9), evaluate, foghorn (>=
1.1.0), gmailr (> 0.7.0), knitr, lintr (>= 0.2.1), mockery,
pingr, MASS, pkgdown, Rcpp (>= 0.10.0), rhub (>= 1.0.2),
rmarkdown, spelling (>= 1.1), whisker",,"GPL (>= 2)",,,,,"no","3.5.3"
"DiagrammeR","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.1",,"R (>= 3.2.0)","dplyr (>= 0.7.4), downloader (>= 0.4), glue (>= 1.2.0),
htmltools (>= 0.3.6), htmlwidgets (>= 1.0), igraph (>= 1.1.2),
influenceR (>= 0.1.0), magrittr (>= 1.5), purrr (>= 0.2.4),
RColorBrewer (>= 1.1-2), readr (>= 1.1.1), rlang (>= 0.2.0),
rstudioapi (>= 0.7), rgexf (>= 0.15.3), scales (>= 0.5.0),
stringr (>= 1.3.0), tibble (>= 1.4.2), tidyr (>= 0.8.0),
viridis (>= 0.5.0), visNetwork (>= 2.0.3)",,"covr, DiagrammeRsvg, rsvg, knitr, testthat",,"MIT + file LICENSE",,,,,"no","3.5.3"
"dials","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0.2",,"scales","glue, purrr, rlang, tibble, dplyr, utils, withr",,"testthat, knitr, rpart, covr, kernlab",,"GPL-2",,,,,"no","3.5.3"
"dichromat","C:/Users/jtolbert/Documents/R/win-library/3.5","2.0-0",,"R (>= 2.10), stats",,,,,"GPL-2",,,,,,"3.5.2"
